Stock Item Key,WWI Stock Item ID,Stock Item,Color,Selling Package,Buying Package,Size,Lead Time Days,Quantity Per Outer,Is Chiller Stock,Barcode,Tax Rate,Unit Price,Recommended Retail Price,Typical Weight Per Unit
0,0,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0.0,0,0.0,0.0,0.0
1,219,Void fill 400 L bag (White) 400L,Unknown,Each,Each,400L,14,10,0,0.0,14,50.0,74.75,1.0
2,218,Void fill 300 L bag (White) 300L,Unknown,Each,Each,300L,14,10,0,0.0,14,37.5,56.06,0.75
3,217,Void fill 200 L bag (White) 200L,Unknown,Each,Each,200L,14,10,0,0.0,14,25.0,37.38,0.5
4,216,Void fill 100 L bag (White) 100L,Unknown,Each,Each,100L,14,10,0,0.0,14,12.5,18.69,0.25
5,215,Air cushion machine (Blue),Unknown,Each,Each,Unknown,20,1,0,0.0,20,1899.0,2839.01,10.0
6,214,Air cushion film 200mmx200mm 325m,Unknown,Each,Each,325m,14,1,0,0.0,14,90.0,134.55,6.0
7,213,Air cushion film 200mmx100mm 325m,Unknown,Each,Each,325m,14,1,0,0.0,14,87.0,130.07,5.0
8,212,Large replacement blades 18mm,Unknown,Each,Each,18mm,14,10,0,0.0,14,4.3,6.43,0.8
9,211,Small 9mm replacement blades 9mm,Unknown,Each,Each,9mm,14,10,0,0.0,14,4.1,6.13,0.7
10,210,Packing knife with metal insert blade (Yellow) 18mm,Unknown,Each,Each,18mm,14,5,0,0.0,14,2.4,3.59,0.5
11,209,Packing knife with metal insert blade (Yellow) 9mm,Unknown,Each,Each,9mm,14,5,0,0.0,14,1.89,2.83,0.5
12,208,Permanent marker red 5mm nib (Red) 5mm,Unknown,Each,Each,5mm,14,12,0,0.0,14,2.7,4.04,0.1
13,207,Permanent marker blue 5mm nib (Blue) 5mm,Unknown,Each,Each,5mm,14,12,0,0.0,14,2.7,4.04,0.1
14,206,Permanent marker black 5mm nib (Black) 5mm,Unknown,Each,Each,5mm,14,12,0,0.0,14,2.7,4.04,0.1
15,205,Tape dispenser (Blue),Unknown,Each,Each,Unknown,20,10,0,0.0,20,32.0,47.84,1.0
16,204,Tape dispenser (Red),Unknown,Each,Each,Unknown,20,10,0,0.0,20,32.0,47.84,1.0
17,203,Tape dispenser (Black),Unknown,Each,Each,Unknown,20,10,0,0.0,20,32.0,47.84,1.0
18,202,Red and white urgent heavy despatch tape 48mmx100m,Unknown,Each,Each,48mmx100m,14,24,0,0.0,14,4.1,6.13,0.7
19,201,Red and white urgent despatch tape 48mmx75m,Unknown,Each,Each,48mmx75m,14,24,0,0.0,14,3.7,5.53,0.5
20,200,Black and yellow heavy despatch tape 48mmx100m,Unknown,Each,Each,48mmx100m,14,24,0,0.0,14,4.1,6.13,0.7
21,199,Black and yellow heavy despatch tape 48mmx75m,Unknown,Each,Each,48mmx75m,14,24,0,0.0,14,3.7,5.53,0.5
22,198,Black and orange this way up despatch tape 48mmx100m,Unknown,Each,Each,48mmx100m,14,24,0,0.0,14,4.1,6.13,0.7
23,197,Black and orange this way up despatch tape 48mmx75m,Unknown,Each,Each,48mmx75m,14,24,0,0.0,14,3.7,5.53,0.5
24,196,Black and orange handle with care despatch tape 48mmx100m,Unknown,Each,Each,48mmx100m,14,24,0,0.0,14,4.1,6.13,0.7
25,195,Black and orange handle with care despatch tape 48mmx75m,Unknown,Each,Each,48mmx75m,14,24,0,0.0,14,3.7,5.53,0.5
26,194,Black and orange glass with care despatch tape 48mmx100m,Unknown,Each,Each,48mmx100m,14,24,0,0.0,14,4.1,6.13,0.7
27,193,Black and orange glass with care despatch tape 48mmx75m,Unknown,Each,Each,48mmx75m,14,24,0,0.0,14,3.7,5.53,0.5
28,192,Black and orange fragile despatch tape 48mmx100m,Unknown,Each,Each,48mmx100m,14,36,0,0.0,14,4.1,6.13,0.7
29,191,Black and orange fragile despatch tape 48mmx75m,Unknown,Each,Each,48mmx75m,14,36,0,0.0,14,3.7,5.53,0.5
30,190,Clear packaging tape 48mmx100m,Unknown,Each,Each,48mmx100m,14,20,0,0.0,14,3.5,5.23,0.7
31,189,Clear packaging tape 48mmx75m,Unknown,Each,Each,48mmx75m,14,26,0,0.0,14,2.9,4.34,0.5
